City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bredasdorp,24,ZA,1546570800,93,-34.53,20.04,57.2,4.7
kondol,92,RU,1546573128,91,52.82,45.06,18.9,12.24
mataura,76,NZ,1546573128,71,-46.19,168.86,61.88,20.51
punta arenas,75,CL,1546567200,76,-53.16,-70.91,50,23.04
kaitangata,92,NZ,1546573129,83,-46.28,169.85,56.21,16.82
katsuura,20,JP,1546570800,76,33.93,134.5,48.2,4.7
trogir,0,HR,1546570800,40,43.52,16.25,32,16.11
batagay,64,RU,1546573130,0,67.65,134.64,-30.51,3.06
rikitea,100,PF,1546573131,100,-23.12,-134.97,76.06,22.08
qaqortoq,92,GL,1546573131,97,60.72,-46.03,25.02,7.76
bensonville,20,LR,1546573131,87,6.45,-10.61,74.75,5.97
wencheng,92,CN,1546573131,100,27.79,120.09,49.46,2.84
hofn,92,IS,1546573132,88,64.25,-15.21,45.32,16.04
busselton,92,AU,1546573132,100,-33.64,115.35,66.25,12.24
kapaa,40,US,1546570560,68,22.08,-159.32,80.06,21.92
avarua,90,CK,1546570800,88,-21.21,-159.78,78.8,2.24
albany,90,US,1546571280,66,42.65,-73.75,35.06,4.7
albanel,90,CA,1546567200,92,48.88,-72.44,5,3.36
olinda,75,EC,1546570800,74,-2.03,-79.75,80.6,8.05
sao joao da barra,64,BR,1546573134,100,-21.64,-41.05,76.91,25.32
mahebourg,20,MU,1546570800,83,-20.41,57.7,80.6,4.7
meulaboh,12,ID,1546573135,100,4.14,96.13,80.56,3.96
cape town,0,ZA,1546570800,88,-33.93,18.42,64.4,9.17
vanimo,48,PG,1546573135,100,-2.67,141.3,82.54,22.08
college,1,US,1546570680,80,64.86,-147.8,-7.97,3.4
ushuaia,8,AR,1546572960,100,-54.81,-68.31,36.68,2.62
velikodvorskiy,88,RU,1546573136,92,55.25,40.67,25.02,9.89
bay roberts,20,CA,1546570800,84,47.58,-53.28,8.6,2.24
norton,20,ZW,1546573137,99,-17.87,30.7,64.18,5.41
esperance,20,TT,1546570800,78,10.24,-61.45,77,6.93
talnakh,44,RU,1546572863,64,69.49,88.39,0,11.23
tessalit,0,ML,1546573138,54,20.2,1.01,43.02,4.52
port lincoln,12,AU,1546573138,80,-34.72,135.86,69.26,16.26
clyde river,90,CA,1546570800,91,70.47,-68.59,1.4,3.36
hithadhoo,68,MV,1546573139,100,-0.6,73.08,81.23,12.12
hilo,75,US,1546570380,60,19.71,-155.08,77,6.93
luena,92,AO,1546573139,93,-11.78,19.91,63.1,2.62
bathsheba,75,BB,1546570800,69,13.22,-59.52,78.8,18.34
ginir,0,ET,1546573140,73,7.14,40.71,51.85,3.51
ancud,64,CL,1546570800,93,-41.87,-73.83,50,5.82
tateyama,20,JP,1546570800,48,36.66,137.31,44.6,4.7
provideniya,64,RU,1546573141,100,64.42,-173.23,12.92,20.29
vaini,0,IN,1546570800,48,15.34,74.49,66.2,3.36
pacific grove,1,US,1546570800,60,36.62,-121.92,48.92,4.7
atuona,68,PF,1546573142,100,-9.8,-139.03,81,13.35
nuuk,76,GL,1546570200,92,64.17,-51.74,19.4,11.41
port alfred,12,ZA,1546573142,89,-33.59,26.89,68.41,13.02
bethel,1,US,1546570560,87,60.79,-161.76,14,10.29
pontes e lacerda,8,BR,1546573143,89,-15.23,-59.33,74.93,2.62
la ronge,5,CA,1546570800,73,55.1,-105.3,24.8,9.17
atascadero,1,US,1546570560,65,35.49,-120.67,48.92,9.17
tuy hoa,80,VN,1546573144,100,13.08,109.3,75.56,13.24
qaanaaq,0,GL,1546573144,66,77.48,-69.36,-4.91,8.21
hermanus,0,ZA,1546573145,92,-34.42,19.24,52.16,3.85
chicama,75,PE,1546570800,88,-7.84,-79.15,71.6,6.93
severo-kurilsk,48,RU,1546573145,100,50.68,156.12,25.97,14.81
kodiak,1,US,1546570500,92,39.95,-94.76,33.8,6.87
fortuna,0,ES,1546570800,87,38.18,-1.13,42.8,8.05
nikolskoye,90,RU,1546570800,92,59.7,30.79,19.4,2.24
ileza,88,RU,1546573147,87,61.05,43.9,19,6.98
katangli,0,RU,1546573147,93,51.71,143.23,15.12,18.39
cayenne,80,GF,1546570800,88,4.94,-52.33,78.8,8.05
jamestown,0,AU,1546573148,35,-33.21,138.6,92.48,13.91
roma,0,IT,1546572000,58,41.89,12.48,35.6,6.93
airai,88,TL,1546573149,60,-8.93,125.41,83.52,1.61
bluff,0,AU,1546573094,40,-23.58,149.07,92.07,12.91
mildura,0,AU,1546570800,7,-34.18,142.16,111.2,11.41
gorontalo,24,ID,1546573150,78,0.54,123.06,82.13,3.18
wanning,75,AT,1546570200,73,48.64,13.53,24.8,10.29
orange,0,AU,1546573145,66,-33.28,149.1,87.08,7.76
saint-augustin,0,FR,1546570800,91,44.83,-0.61,32,6.93
xiongzhou,90,CN,1546570800,100,32.34,118.83,42.8,4.47
saint-philippe,90,CA,1546571580,85,45.36,-73.48,23.36,4.7
kirkwall,68,GB,1546570200,87,58.98,-2.96,44.6,9.17
bonavista,20,CA,1546573152,100,48.65,-53.11,14.58,10.22
